HE_Idx;FaceIdx;initVert;finVert;nextEdge;twinEdge;
0;0;0;2;1;34;
1;0;2;3;2;11;
2;0;3;0;0;3;
3;3;0;3;4;2;
4;3;3;1;5;24;
5;3;1;0;3;19;
6;6;8;4;7;31;
7;6;4;5;8;17;
8;6;5;8;6;9;
9;9;8;5;10;8;
10;9;5;9;11;25;
11;9;9;8;9;1;
12;12;10;6;13;30;
13;12;6;7;14;23;
14;12;7;10;12;15;
15;15;10;7;16;14;
16;15;7;11;17;28;
17;15;11;10;15;7;
18;18;12;13;19;35;
19;18;13;14;20;5;
20;18;14;12;18;21;
21;21;12;14;22;20;
22;21;14;15;23;29;
23;21;15;12;21;13;
24;24;16;17;25;4;
25;24;17;18;26;10;
26;24;18;16;24;27;
27;27;16;18;28;26;
28;27;18;19;29;16;
29;27;19;16;27;22;
30;30;20;21;31;12;
31;30;21;22;32;6;
32;30;22;20;30;33;
33;33;20;22;34;32;
34;33;22;23;35;0;
35;33;23;20;33;18;
