Oggetto;Triangoli;Frammenti;Ms. HE;Ms. BFS;Ms. Explode
Cube;2700;5;2597;53;380;
Cube;2700;10;2611;55;227;
Cube;2700;25;2705;67;118;
Cube;2700;50;2656;60;73;
Cube;2700;75;2684;61;77;
Cube;2700;100;2666;70;64;
Cube;2700;125;2603;59;68;
Cube;2700;175;2668;57;67;
Cube;2700;250;2661;64;59;
Cube;2700;325;2654;45;67;
Cube;2700;383;2588;62;57;
Cube;2700;400;2649;84;70;
Cube;2700;500;2647;92;59;
Cube;2700;535;2616;74;61;
Cube;2700;625;2608;62;54;
Cube;2700;677;2587;127;81;
Cube;2700;750;2587;121;90;
Cube;2700;797;2600;109;88;
Cube;2700;809;2653;116;111;
Cube;2700;1000;2630;166;103;
Cube;2700;1250;2656;40;85;
Cube;2700;1283;2596;27;86;
Cube;2700;1367;2601;242;266;
Cube;2700;1426;2596;228;288;
Cube;2700;1500;2607;229;244;
