Oggetto;Triangoli;Frammenti;Ms. HE;Ms. BFS;Ms. Explode
stanford-bunny;30338;5;333114;7407;52980;
stanford-bunny;30338;10;332288;7286;28644;
stanford-bunny;30338;25;329341;5048;10512;
stanford-bunny;30338;50;329240;5785;4887;
stanford-bunny;30338;75;339561;5576;4307;
stanford-bunny;30338;100;330671;5386;3080;
stanford-bunny;30338;125;329642;6007;2731;
stanford-bunny;30338;175;329795;5464;3081;
stanford-bunny;30338;250;329815;5466;1915;
stanford-bunny;30338;325;342539;4805;2376;
stanford-bunny;30338;383;334469;4618;2835;
stanford-bunny;30338;400;331563;4930;1664;
stanford-bunny;30338;500;338510;5693;1276;
stanford-bunny;30338;535;330488;5432;2257;
stanford-bunny;30338;625;333176;5470;1312;
stanford-bunny;30338;677;331148;5012;1857;
stanford-bunny;30338;750;340036;5440;1256;
stanford-bunny;30338;797;331097;6155;1901;
stanford-bunny;30338;809;341927;5014;2249;
stanford-bunny;30338;1000;332798;5834;1289;
stanford-bunny;30338;1250;330682;6035;984;
stanford-bunny;30338;1283;330943;5598;1655;
stanford-bunny;30338;1367;334737;6179;1088;
stanford-bunny;30338;1426;340438;5242;1381;
stanford-bunny;30338;1500;330569;6018;1482;
