Oggetto;Triangoli;Frammenti;Ms. HE;Ms. BFS;Ms. Explode
Subdivision_Cube;3072;5;3366;56;476
Subdivision_Cube;3072;10;3742;66;272
Subdivision_Cube;3072;25;3355;74;135
Subdivision_Cube;3072;50;3452;75;107
Subdivision_Cube;3072;75;3475;78;90
Subdivision_Cube;3072;125;3435;85;83
Subdivision_Cube;3072;175;3357;81;60
Subdivision_Cube;3072;250;3856;83;51
Subdivision_Cube;3072;383;3355;78;91
Subdivision_Cube;3072;100;3498;84;83
Subdivision_Cube;3072;400;3383;99;70
Subdivision_Cube;3072;500;3403;82;58
Subdivision_Cube;3072;535;3379;113;84
Subdivision_Cube;3072;625;3365;116;106
Subdivision_Cube;3072;677;3426;109;74
Subdivision_Cube;3072;750;3504;83;90
Subdivision_Cube;3072;797;3518;139;140
Subdivision_Cube;3072;809;3489;134;135
Subdivision_Cube;3072;1000;3442;90;97
Subdivision_Cube;3072;1250;3366;127;150
Subdivision_Cube;3072;1283;3428;116;128
Subdivision_Cube;3072;1367;3442;90;122
Subdivision_Cube;3072;1426;3399;94;149
Subdivision_Cube;3072;1500;3366;69;113
Subdivision_Cube;3072;325;3470;94;59;
