Oggetto;Triangoli;Frammenti;Ms. HE;Ms. BFS;Ms. Explode
Suzanne;3936;5;5558;126;1018;
Suzanne;3936;10;5745;168;586;
Suzanne;3936;25;5657;83;246;
Suzanne;3936;50;5760;117;205;
Suzanne;3936;75;5830;112;152;
Suzanne;3936;100;5724;101;84;
Suzanne;3936;125;5550;118;124;
Suzanne;3936;175;5642;111;141;
Suzanne;3936;250;5703;126;161;
Suzanne;3936;325;5746;151;135;
Suzanne;3936;383;5565;146;131;
Suzanne;3936;400;5544;124;144;
Suzanne;3936;500;5554;127;87;
Suzanne;3936;535;5528;151;68;
Suzanne;3936;625;5773;157;149;
Suzanne;3936;677;5553;184;128;
Suzanne;3936;750;5548;143;86;
Suzanne;3936;797;5773;211;157;
Suzanne;3936;809;5727;203;128;
Suzanne;3936;1000;5586;261;206;
Suzanne;3936;1250;5861;234;129;
Suzanne;3936;1283;5551;217;118;
Suzanne;3936;1367;5709;355;245;
Suzanne;3936;1426;5926;367;203;
Suzanne;3936;1500;5553;331;235;
Suzanne;3936;600;3669;118;89;
Suzanne;3936;600;3651;117;85;
Suzanne;3936;600;3779;129;86;
Suzanne;3936;600;3609;120;94;
