Oggetto;Triangoli;Frammenti;Ms. HE;Ms. BFS;Ms. Explode
utah-teapot;4032;5;6132;216;3450;
utah-teapot;4032;10;6019;197;1826;
utah-teapot;4032;25;6030;212;1547;
utah-teapot;4032;50;6039;206;1275;
utah-teapot;4032;75;6047;131;242;
utah-teapot;4032;100;6023;215;1235;
utah-teapot;4032;125;5917;229;1217;
utah-teapot;4032;175;5884;241;1228;
utah-teapot;4032;250;6211;277;747;
utah-teapot;4032;325;5860;312;854;
utah-teapot;4032;383;6011;302;642;
utah-teapot;4032;400;6062;300;562;
utah-teapot;4032;500;6027;338;563;
utah-teapot;4032;535;5844;348;558;
utah-teapot;4032;625;5993;184;264;
utah-teapot;4032;677;5866;385;595;
utah-teapot;4032;750;5867;157;130;
utah-teapot;4032;797;5908;122;86;
utah-teapot;4032;809;6082;438;586;
utah-teapot;4032;1000;5921;106;93;
utah-teapot;4032;1250;5898;251;189;
utah-teapot;4032;1283;5997;239;198;
utah-teapot;4032;1367;5865;644;1021;
utah-teapot;4032;1426;5903;700;832;
utah-teapot;4032;1500;5875;688;648;
utah-teapot;4032;65;3728;136;453;
utah-teapot;4032;65;3767;141;445;
utah-teapot;4032;65;3719;135;519;
utah-teapot;4032;500;3743;217;380;
utah-teapot;4032;500;3866;223;386;
utah-teapot;4032;500;3733;117;184;
utah-teapot;4032;500;3869;41;75;
utah-teapot;4032;500;3833;217;388;
utah-teapot;4032;500;3845;217;384;
utah-teapot;4032;65;3915;146;561;
utah-teapot;4032;578;3900;254;459;
utah-teapot;4032;578;3868;268;443;
