Triangle_Idx;Vert_Idx;
0;0;
1;501;
2;1551;
3;0;
4;1551;
5;500;
6;0;
7;500;
8;1549;
9;0;
10;1549;
11;2014;
12;2012;
13;502;
14;1505;
15;2012;
16;1505;
17;2013;
18;2012;
19;1507;
20;502;
21;2012;
22;503;
23;1507;
24;1;
25;505;
26;1508;
27;1;
28;1508;
29;504;
30;1;
31;1506;
32;505;
33;1;
34;506;
35;1506;
36;2015;
37;507;
38;1552;
39;2015;
40;1552;
41;2016;
42;2015;
43;1550;
44;507;
45;2015;
46;2017;
47;1550;
48;2;
49;2018;
50;2019;
51;2;
52;2019;
53;508;
54;2020;
55;509;
56;2021;
57;2020;
58;2021;
59;2022;
60;2023;
61;510;
62;1509;
63;2023;
64;1509;
65;2024;
66;2025;
67;2026;
68;1547;
69;2025;
70;1547;
71;2027;
72;3;
73;512;
74;1510;
75;3;
76;1510;
77;511;
78;2028;
79;2029;
80;2030;
81;2028;
82;2030;
83;2031;
84;2032;
85;513;
86;2033;
87;2032;
88;2033;
89;2034;
90;2035;
91;2036;
92;1548;
93;2035;
94;1548;
95;2037;
96;4;
97;514;
98;2038;
99;4;
100;2038;
101;2039;
102;2040;
103;515;
104;1513;
105;2040;
106;1513;
107;2041;
108;2042;
109;516;
110;1511;
111;2042;
112;1511;
113;2043;
114;2044;
115;2045;
116;2046;
117;2044;
118;2046;
119;2047;
120;5;
121;518;
122;1512;
123;5;
124;1512;
125;517;
126;2048;
127;519;
128;1514;
129;2048;
130;1514;
131;2049;
132;2050;
133;2051;
134;2052;
135;2050;
136;2052;
137;2053;
138;2054;
139;2055;
140;2056;
141;2054;
142;2056;
143;2057;
144;6;
145;520;
146;2058;
147;6;
148;2058;
149;2059;
150;6;
151;2059;
152;2064;
153;6;
154;2064;
155;2065;
156;2060;
157;521;
158;1515;
159;2060;
160;1515;
161;2061;
162;2060;
163;2063;
164;521;
165;2060;
166;2062;
167;2063;
168;7;
169;522;
170;2066;
171;7;
172;2066;
173;2067;
174;7;
175;1516;
176;522;
177;7;
178;523;
179;1516;
180;2068;
181;2069;
182;2070;
183;2068;
184;2070;
185;2071;
186;2068;
187;2073;
188;2069;
189;2068;
190;2072;
191;2073;
192;8;
193;524;
194;2074;
195;8;
196;2074;
197;2075;
198;2076;
199;525;
200;1517;
201;2076;
202;1517;
203;2077;
204;2078;
205;526;
206;1519;
207;2078;
208;1519;
209;2079;
210;2080;
211;2081;
212;2082;
213;2080;
214;2082;
215;2083;
216;9;
217;528;
218;1520;
219;9;
220;1520;
221;527;
222;2084;
223;529;
224;1518;
225;2084;
226;1518;
227;2085;
228;2086;
229;2087;
230;2088;
231;2086;
232;2088;
233;2089;
234;2090;
235;2091;
236;2092;
237;2090;
238;2092;
239;2093;
240;10;
241;2094;
242;2095;
243;10;
244;2095;
245;2096;
246;2097;
247;530;
248;2098;
249;2097;
250;2098;
251;2099;
252;2100;
253;531;
254;1521;
255;2100;
256;1521;
257;2101;
258;2102;
259;2103;
260;2104;
261;2102;
262;2104;
263;2105;
264;11;
265;533;
266;1522;
267;11;
268;1522;
269;532;
270;2106;
271;2107;
272;2108;
273;2106;
274;2108;
275;2109;
276;2110;
277;2111;
278;2112;
279;2110;
280;2112;
281;2113;
282;2114;
283;2115;
284;2116;
285;2114;
286;2116;
287;2117;
288;12;
289;534;
290;2118;
291;12;
292;2118;
293;2119;
294;2120;
295;535;
296;1525;
297;2120;
298;1525;
299;2121;
300;2122;
301;536;
302;1523;
303;2122;
304;1523;
305;2123;
306;2124;
307;2125;
308;2126;
309;2124;
310;2126;
311;2127;
312;13;
313;538;
314;1524;
315;13;
316;1524;
317;537;
318;2128;
319;539;
320;1526;
321;2128;
322;1526;
323;2129;
324;2130;
325;2131;
326;2132;
327;2130;
328;2132;
329;2133;
330;2134;
331;2135;
332;2136;
333;2134;
334;2136;
335;2137;
336;14;
337;540;
338;2138;
339;14;
340;2138;
341;2139;
342;14;
343;2139;
344;2144;
345;14;
346;2144;
347;2145;
348;2140;
349;541;
350;1527;
351;2140;
352;1527;
353;2141;
354;2140;
355;2143;
356;541;
357;2140;
358;2142;
359;2143;
360;15;
361;542;
362;2146;
363;15;
364;2146;
365;2147;
366;15;
367;1528;
368;542;
369;15;
370;543;
371;1528;
372;2148;
373;2149;
374;2150;
375;2148;
376;2150;
377;2151;
378;2148;
379;2153;
380;2149;
381;2148;
382;2152;
383;2153;
384;16;
385;544;
386;2154;
387;16;
388;2154;
389;2155;
390;16;
391;2155;
392;2158;
393;16;
394;2158;
395;2159;
396;2156;
397;545;
398;1529;
399;2156;
400;1529;
401;2157;
402;2156;
403;1531;
404;545;
405;2156;
406;546;
407;1531;
408;17;
409;548;
410;1532;
411;17;
412;1532;
413;547;
414;17;
415;1530;
416;548;
417;17;
418;549;
419;1530;
420;2160;
421;2161;
422;2162;
423;2160;
424;2162;
425;2163;
426;2160;
427;2165;
428;2161;
429;2160;
430;2164;
431;2165;
432;18;
433;2166;
434;2167;
435;18;
436;2167;
437;2168;
438;2169;
439;550;
440;2170;
441;2169;
442;2170;
443;2171;
444;2172;
445;551;
446;1533;
447;2172;
448;1533;
449;2173;
450;2174;
451;2175;
452;2176;
453;2174;
454;2176;
455;2177;
456;19;
457;553;
458;1534;
459;19;
460;1534;
461;552;
462;2178;
463;2179;
464;2180;
465;2178;
466;2180;
467;2181;
468;2182;
469;2183;
470;2184;
471;2182;
472;2184;
473;2185;
474;2186;
475;2187;
476;2188;
477;2186;
478;2188;
479;2189;
480;20;
481;554;
482;2190;
483;20;
484;2190;
485;2191;
486;2192;
487;555;
488;1537;
489;2192;
490;1537;
491;2193;
492;2194;
493;556;
494;1535;
495;2194;
496;1535;
497;2195;
498;2196;
499;2197;
500;2198;
501;2196;
502;2198;
503;2199;
504;21;
505;558;
506;1536;
507;21;
508;1536;
509;557;
510;2200;
511;559;
512;1538;
513;2200;
514;1538;
515;2201;
516;2202;
517;2203;
518;2204;
519;2202;
520;2204;
521;2205;
522;2206;
523;2207;
524;2208;
525;2206;
526;2208;
527;2209;
528;22;
529;560;
530;2210;
531;22;
532;2210;
533;2211;
534;22;
535;2211;
536;2216;
537;22;
538;2216;
539;2217;
540;2212;
541;561;
542;1539;
543;2212;
544;1539;
545;2213;
546;2212;
547;2215;
548;561;
549;2212;
550;2214;
551;2215;
552;23;
553;562;
554;2218;
555;23;
556;2218;
557;2219;
558;23;
559;1540;
560;562;
561;23;
562;563;
563;1540;
564;2220;
565;2221;
566;2222;
567;2220;
568;2222;
569;2223;
570;2220;
571;2225;
572;2221;
573;2220;
574;2224;
575;2225;
576;24;
577;564;
578;2226;
579;24;
580;2226;
581;2227;
582;24;
583;2227;
584;2230;
585;24;
586;2230;
587;2231;
588;2228;
589;565;
590;1541;
591;2228;
592;1541;
593;2229;
594;2228;
595;1543;
596;565;
597;2228;
598;566;
599;1543;
600;25;
601;568;
602;1544;
603;25;
604;1544;
605;567;
606;25;
607;1542;
608;568;
609;25;
610;569;
611;1542;
612;2232;
613;2233;
614;2234;
615;2232;
616;2234;
617;2235;
618;2232;
619;2237;
620;2233;
621;2232;
622;2236;
623;2237;
624;26;
625;2238;
626;2239;
627;26;
628;2239;
629;2240;
630;2241;
631;570;
632;2242;
633;2241;
634;2242;
635;2243;
636;2244;
637;571;
638;1545;
639;2244;
640;1545;
641;2245;
642;2246;
643;2247;
644;2248;
645;2246;
646;2248;
647;2249;
648;27;
649;573;
650;1546;
651;27;
652;1546;
653;572;
654;2250;
655;2251;
656;2252;
657;2250;
658;2252;
659;2253;
660;2254;
661;2255;
662;2256;
663;2254;
664;2256;
665;2257;
666;2258;
667;2259;
668;2260;
669;2258;
670;2260;
671;2261;
672;28;
673;574;
674;2262;
675;28;
676;2262;
677;2263;
678;2264;
679;2265;
680;2266;
681;2264;
682;2266;
683;2267;
684;2268;
685;575;
686;2269;
687;2268;
688;2269;
689;2270;
690;2271;
691;2272;
692;2273;
693;2271;
694;2273;
695;2274;
696;29;
697;2275;
698;2276;
699;29;
700;2276;
701;576;
702;2277;
703;577;
704;2278;
705;2277;
706;2278;
707;2279;
708;2280;
709;2281;
710;2282;
711;2280;
712;2282;
713;2283;
714;2284;
715;2285;
716;2286;
717;2284;
718;2286;
719;2287;
