Triangle_Idx;Vert_Idx;
0;0;
1;1;
2;2;
3;0;
4;2;
5;3;
6;0;
7;4;
8;1;
9;0;
10;5;
11;4;
12;0;
13;6;
14;5;
15;0;
16;7;
17;6;
18;0;
19;3;
20;8;
21;0;
22;8;
23;7;
24;9;
25;4;
26;5;
27;9;
28;5;
29;6;
30;9;
31;10;
32;4;
33;9;
34;11;
35;10;
36;9;
37;12;
38;11;
39;9;
40;13;
41;12;
42;9;
43;14;
44;13;
45;9;
46;6;
47;14;
48;15;
49;11;
50;12;
51;15;
52;12;
53;13;
54;15;
55;16;
56;11;
57;15;
58;17;
59;16;
60;15;
61;18;
62;17;
63;15;
64;19;
65;18;
66;15;
67;20;
68;19;
69;15;
70;13;
71;20;
72;21;
73;17;
74;18;
75;21;
76;18;
77;19;
78;21;
79;22;
80;17;
81;21;
82;23;
83;22;
84;21;
85;24;
86;23;
87;21;
88;25;
89;24;
90;21;
91;26;
92;25;
93;21;
94;19;
95;26;
96;27;
97;16;
98;17;
99;27;
100;17;
101;28;
102;27;
103;28;
104;29;
105;27;
106;29;
107;30;
108;27;
109;30;
110;31;
111;27;
112;31;
113;32;
114;33;
115;32;
116;31;
117;33;
118;31;
119;34;
120;33;
121;34;
122;35;
123;33;
124;35;
125;36;
126;37;
127;36;
128;35;
129;37;
130;35;
131;38;
132;37;
133;38;
134;39;
135;37;
136;39;
137;40;
138;37;
139;4;
140;36;
141;33;
142;36;
143;4;
144;37;
145;1;
146;4;
147;37;
148;40;
149;2;
150;37;
151;2;
152;1;
153;33;
154;11;
155;32;
156;33;
157;10;
158;11;
159;33;
160;4;
161;10;
162;27;
163;32;
164;11;
165;27;
166;11;
167;16;
168;41;
169;38;
170;35;
171;41;
172;39;
173;38;
174;41;
175;35;
176;42;
177;41;
178;42;
179;43;
180;41;
181;43;
182;44;
183;41;
184;44;
185;45;
186;41;
187;45;
188;46;
189;41;
190;46;
191;39;
192;47;
193;43;
194;42;
195;47;
196;48;
197;43;
198;47;
199;49;
200;48;
201;47;
202;50;
203;49;
204;47;
205;31;
206;50;
207;47;
208;34;
209;31;
210;47;
211;42;
212;35;
213;47;
214;35;
215;34;
216;51;
217;49;
218;50;
219;51;
220;50;
221;31;
222;51;
223;52;
224;49;
225;51;
226;53;
227;52;
228;51;
229;54;
230;53;
231;51;
232;29;
233;54;
234;51;
235;30;
236;29;
237;51;
238;31;
239;30;
240;55;
241;53;
242;54;
243;55;
244;54;
245;29;
246;55;
247;56;
248;53;
249;55;
250;57;
251;56;
252;55;
253;58;
254;57;
255;55;
256;59;
257;58;
258;55;
259;60;
260;59;
261;55;
262;29;
263;60;
264;61;
265;60;
266;29;
267;61;
268;59;
269;60;
270;61;
271;29;
272;28;
273;61;
274;62;
275;59;
276;61;
277;23;
278;62;
279;61;
280;22;
281;23;
282;61;
283;28;
284;17;
285;61;
286;17;
287;22;
288;63;
289;56;
290;57;
291;63;
292;57;
293;64;
294;63;
295;64;
296;65;
297;63;
298;65;
299;66;
300;63;
301;66;
302;67;
303;63;
304;67;
305;68;
306;69;
307;68;
308;67;
309;69;
310;67;
311;70;
312;69;
313;70;
314;71;
315;69;
316;71;
317;72;
318;73;
319;72;
320;71;
321;73;
322;71;
323;74;
324;73;
325;74;
326;75;
327;73;
328;75;
329;76;
330;77;
331;76;
332;75;
333;77;
334;75;
335;78;
336;77;
337;78;
338;79;
339;77;
340;79;
341;80;
342;77;
343;43;
344;76;
345;73;
346;76;
347;43;
348;77;
349;44;
350;43;
351;77;
352;80;
353;45;
354;77;
355;45;
356;44;
357;73;
358;49;
359;72;
360;69;
361;72;
362;49;
363;73;
364;48;
365;49;
366;73;
367;43;
368;48;
369;81;
370;78;
371;75;
372;81;
373;79;
374;78;
375;81;
376;75;
377;82;
378;81;
379;82;
380;83;
381;81;
382;83;
383;84;
384;81;
385;84;
386;85;
387;81;
388;85;
389;86;
390;81;
391;86;
392;79;
393;87;
394;83;
395;82;
396;87;
397;88;
398;83;
399;87;
400;89;
401;88;
402;87;
403;90;
404;89;
405;87;
406;71;
407;90;
408;87;
409;74;
410;71;
411;87;
412;82;
413;75;
414;87;
415;75;
416;74;
417;91;
418;89;
419;90;
420;91;
421;90;
422;71;
423;91;
424;92;
425;89;
426;91;
427;93;
428;92;
429;91;
430;94;
431;93;
432;91;
433;67;
434;94;
435;91;
436;70;
437;67;
438;91;
439;71;
440;70;
441;95;
442;93;
443;94;
444;95;
445;94;
446;67;
447;95;
448;96;
449;93;
450;95;
451;97;
452;96;
453;95;
454;98;
455;97;
456;95;
457;65;
458;98;
459;95;
460;66;
461;65;
462;95;
463;67;
464;66;
465;99;
466;92;
467;93;
468;99;
469;93;
470;100;
471;99;
472;100;
473;101;
474;99;
475;101;
476;102;
477;99;
478;102;
479;103;
480;99;
481;103;
482;104;
483;105;
484;104;
485;103;
486;105;
487;103;
488;106;
489;105;
490;106;
491;107;
492;105;
493;107;
494;108;
495;109;
496;108;
497;107;
498;109;
499;107;
500;110;
501;109;
502;110;
503;111;
504;109;
505;111;
506;112;
507;109;
508;83;
509;108;
510;105;
511;108;
512;83;
513;109;
514;84;
515;83;
516;109;
517;112;
518;85;
519;109;
520;85;
521;84;
522;105;
523;89;
524;104;
525;105;
526;88;
527;89;
528;105;
529;83;
530;88;
531;99;
532;104;
533;89;
534;99;
535;89;
536;92;
537;113;
538;110;
539;107;
540;113;
541;111;
542;110;
543;113;
544;107;
545;114;
546;113;
547;114;
548;115;
549;113;
550;115;
551;116;
552;113;
553;116;
554;117;
555;113;
556;117;
557;118;
558;113;
559;118;
560;111;
561;119;
562;115;
563;114;
564;119;
565;120;
566;115;
567;119;
568;121;
569;120;
570;119;
571;122;
572;121;
573;119;
574;103;
575;122;
576;119;
577;106;
578;103;
579;119;
580;114;
581;107;
582;119;
583;107;
584;106;
585;123;
586;121;
587;122;
588;123;
589;122;
590;103;
591;123;
592;124;
593;121;
594;123;
595;125;
596;124;
597;123;
598;126;
599;125;
600;123;
601;101;
602;126;
603;123;
604;102;
605;101;
606;123;
607;103;
608;102;
609;127;
610;125;
611;126;
612;127;
613;126;
614;101;
615;127;
616;128;
617;125;
618;127;
619;129;
620;128;
621;127;
622;130;
623;129;
624;127;
625;131;
626;130;
627;127;
628;132;
629;131;
630;127;
631;101;
632;132;
633;133;
634;132;
635;101;
636;133;
637;131;
638;132;
639;133;
640;101;
641;100;
642;133;
643;134;
644;131;
645;133;
646;97;
647;134;
648;133;
649;96;
650;97;
651;133;
652;100;
653;93;
654;133;
655;93;
656;96;
657;135;
658;128;
659;129;
660;135;
661;129;
662;136;
663;135;
664;136;
665;137;
666;135;
667;137;
668;138;
669;135;
670;138;
671;139;
672;135;
673;139;
674;140;
675;141;
676;140;
677;139;
678;141;
679;139;
680;142;
681;141;
682;142;
683;143;
684;141;
685;143;
686;144;
687;145;
688;144;
689;143;
690;145;
691;143;
692;146;
693;145;
694;146;
695;147;
696;145;
697;147;
698;148;
699;149;
700;148;
701;147;
702;149;
703;147;
704;150;
705;149;
706;150;
707;151;
708;149;
709;151;
710;152;
711;149;
712;115;
713;148;
714;145;
715;148;
716;115;
717;149;
718;116;
719;115;
720;149;
721;152;
722;117;
723;149;
724;117;
725;116;
726;145;
727;121;
728;144;
729;141;
730;144;
731;121;
732;145;
733;120;
734;121;
735;145;
736;115;
737;120;
738;141;
739;121;
740;124;
741;141;
742;124;
743;125;
744;141;
745;125;
746;140;
747;135;
748;140;
749;125;
750;135;
751;125;
752;128;
753;69;
754;52;
755;53;
756;69;
757;53;
758;68;
759;69;
760;49;
761;52;
762;63;
763;68;
764;53;
765;63;
766;53;
767;56;
768;153;
769;154;
770;155;
771;153;
772;155;
773;156;
774;153;
775;157;
776;154;
777;153;
778;158;
779;157;
780;153;
781;159;
782;158;
783;153;
784;160;
785;159;
786;153;
787;156;
788;161;
789;153;
790;161;
791;160;
792;162;
793;157;
794;158;
795;162;
796;158;
797;159;
798;162;
799;163;
800;157;
801;162;
802;164;
803;163;
804;162;
805;165;
806;164;
807;162;
808;166;
809;165;
810;162;
811;167;
812;166;
813;162;
814;159;
815;167;
816;168;
817;164;
818;165;
819;168;
820;165;
821;166;
822;168;
823;169;
824;164;
825;168;
826;170;
827;169;
828;168;
829;171;
830;170;
831;168;
832;172;
833;171;
834;168;
835;173;
836;172;
837;168;
838;166;
839;173;
840;174;
841;170;
842;171;
843;174;
844;171;
845;172;
846;174;
847;175;
848;170;
849;174;
850;176;
851;175;
852;174;
853;177;
854;176;
855;174;
856;178;
857;177;
