Vert_Idx;Position;
0;(-0.5, -0.7, 0.2);
1;(0.5, -0.7, 0.2);
2;(-0.6, -0.6, 0.2);
3;(0.6, -0.6, 0.2);
4;(-0.4, -0.7, 0.0);
5;(0.4, -0.7, 0.0);
6;(-0.4, -0.7, 0.1);
7;(0.4, -0.7, 0.1);
8;(-0.3, -0.8, 0.1);
9;(0.3, -0.8, 0.1);
10;(-0.3, -0.7, 0.0);
11;(0.3, -0.7, 0.0);
12;(-0.1, -0.7, 0.2);
13;(0.1, -0.7, 0.2);
14;(-0.2, -0.8, 0.2);
15;(0.2, -0.8, 0.2);
16;(-0.2, -0.8, 0.3);
17;(0.2, -0.8, 0.3);
18;(-0.1, -0.7, 0.3);
19;(0.1, -0.7, 0.3);
20;(-0.3, -0.7, 0.4);
21;(0.3, -0.7, 0.4);
22;(-0.3, -0.8, 0.4);
23;(0.3, -0.8, 0.4);
24;(-0.4, -0.7, 0.4);
25;(0.4, -0.7, 0.4);
26;(-0.4, -0.7, 0.4);
27;(0.4, -0.7, 0.4);
28;(-0.6, -0.6, 0.3);
29;(0.6, -0.6, 0.3);
30;(-0.5, -0.7, 0.3);
31;(0.5, -0.7, 0.3);
32;(-0.5, -0.8, 0.3);
33;(0.5, -0.8, 0.3);
34;(-0.4, -0.8, 0.3);
35;(0.4, -0.8, 0.3);
36;(-0.3, -0.8, 0.3);
37;(0.3, -0.8, 0.3);
38;(-0.3, -0.8, 0.3);
39;(0.3, -0.8, 0.3);
40;(-0.3, -0.8, 0.2);
41;(0.3, -0.8, 0.2);
42;(-0.3, -0.8, 0.1);
43;(0.3, -0.8, 0.1);
44;(-0.4, -0.8, 0.1);
45;(0.4, -0.8, 0.1);
46;(-0.5, -0.8, 0.2);
47;(0.5, -0.8, 0.2);
48;(-0.4, -0.8, 0.2);
49;(0.4, -0.8, 0.2);
50;(-0.4, -0.8, 0.2);
51;(0.4, -0.8, 0.2);
52;(-0.3, -0.8, 0.2);
53;(0.3, -0.8, 0.2);
54;(-0.3, -0.8, 0.2);
55;(0.3, -0.8, 0.2);
56;(-0.3, -0.8, 0.3);
57;(0.3, -0.8, 0.3);
58;(-0.3, -0.8, 0.3);
59;(0.3, -0.8, 0.3);
60;(-0.4, -0.8, 0.3);
61;(0.4, -0.8, 0.3);
62;(-0.4, -0.8, 0.3);
63;(0.4, -0.8, 0.3);
64;(-0.1, -0.6, -1.0);
65;(0.1, -0.6, -1.0);
66;(-0.2, -0.6, -0.9);
67;(0.2, -0.6, -0.9);
68;(-0.3, -0.6, -0.9);
69;(0.3, -0.6, -0.9);
70;(-0.3, -0.6, -0.8);
71;(0.3, -0.6, -0.8);
72;(-0.3, -0.6, -0.6);
73;(0.3, -0.6, -0.6);
74;(-0.3, -0.6, -0.1);
75;(0.3, -0.6, -0.1);
76;(-0.5, -0.6, 0.0);
77;(0.5, -0.6, 0.0);
78;(-0.7, -0.6, 0.1);
79;(0.7, -0.6, 0.1);
80;(-0.8, -0.6, 0.3);
81;(0.8, -0.6, 0.3);
82;(-0.8, -0.7, 0.4);
83;(0.8, -0.7, 0.4);
84;(-0.6, -0.7, 0.5);
85;(0.6, -0.7, 0.5);
86;(-0.4, -0.8, 0.6);
87;(0.4, -0.8, 0.6);
88;(-0.2, -0.8, 0.7);
89;(0.2, -0.8, 0.7);
90;(-0.1, -0.8, 0.6);
91;(0.1, -0.8, 0.6);
92;(0.0, -0.8, 0.4);
93;(0.0, -0.8, 0.4);
94;(-0.2, -0.8, 0.5);
95;(0.2, -0.8, 0.5);
96;(-0.3, -0.8, 0.6);
97;(0.3, -0.8, 0.6);
98;(-0.4, -0.8, 0.5);
99;(0.4, -0.8, 0.5);
100;(-0.5, -0.7, 0.4);
101;(0.5, -0.7, 0.4);
102;(-0.7, -0.7, 0.4);
103;(0.7, -0.7, 0.4);
104;(-0.7, -0.6, 0.3);
105;(0.7, -0.6, 0.3);
106;(-0.6, -0.6, 0.1);
107;(0.6, -0.6, 0.1);
108;(-0.5, -0.7, 0.0);
109;(0.5, -0.7, 0.0);
110;(-0.3, -0.7, 0.0);
111;(0.3, -0.7, 0.0);
112;(-0.1, -0.8, 0.0);
113;(0.1, -0.8, 0.0);
114;(-0.1, -0.8, 0.4);
115;(0.1, -0.8, 0.4);
116;(-0.1, -0.8, 0.3);
117;(0.1, -0.8, 0.3);
118;(-0.1, -0.8, 0.2);
119;(0.1, -0.8, 0.2);
120;(-0.1, -0.7, -0.9);
121;(0.1, -0.7, -0.9);
122;(-0.1, -0.7, -0.9);
123;(0.1, -0.7, -0.9);
124;(-0.2, -0.7, -0.8);
125;(0.2, -0.7, -0.8);
126;(-0.2, -0.7, -0.6);
127;(0.2, -0.7, -0.6);
128;(-0.2, -0.7, -0.7);
129;(0.2, -0.7, -0.7);
130;(0.0, -0.7, -0.4);
131;(0.0, -0.7, -0.4);
132;(0.0, -0.7, -0.6);
133;(0.0, -0.7, -0.6);
134;(-0.1, -0.7, -0.7);
135;(0.1, -0.7, -0.7);
136;(-0.1, -0.8, -0.3);
137;(0.1, -0.8, -0.3);
138;(-0.1, -0.8, -0.2);
139;(0.1, -0.8, -0.2);
140;(-0.1, -0.8, -0.1);
141;(0.1, -0.8, -0.1);
142;(0.0, -0.8, -0.2);
143;(0.0, -0.8, -0.2);
144;(0.0, -0.8, -0.3);
145;(0.0, -0.8, -0.3);
146;(0.0, -0.8, -0.3);
147;(0.0, -0.8, -0.3);
148;(0.0, -0.8, -0.2);
149;(0.0, -0.8, -0.2);
150;(-0.1, -0.8, -0.1);
151;(0.1, -0.8, -0.1);
152;(-0.1, -0.8, -0.2);
153;(0.1, -0.8, -0.2);
154;(-0.1, -0.8, -0.2);
155;(0.1, -0.8, -0.2);
156;(-0.1, -0.8, -0.2);
157;(0.1, -0.8, -0.2);
158;(0.0, -0.8, -0.2);
159;(0.0, -0.8, -0.2);
160;(-0.1, -0.8, -0.1);
161;(0.1, -0.8, -0.1);
162;(-0.1, -0.8, -0.2);
163;(0.1, -0.8, -0.2);
164;(-0.1, -0.7, -0.3);
165;(0.1, -0.7, -0.3);
166;(-0.1, -0.7, -0.4);
167;(0.1, -0.7, -0.4);
168;(-0.2, -0.6, -0.4);
169;(0.2, -0.6, -0.4);
170;(-0.2, -0.6, -0.3);
171;(0.2, -0.6, -0.3);
172;(-0.2, -0.7, -0.2);
173;(0.2, -0.7, -0.2);
174;(-0.1, -0.7, -0.8);
175;(0.1, -0.7, -0.8);
176;(-0.1, -0.7, -0.8);
177;(0.1, -0.7, -0.8);
178;(-0.1, -0.7, -0.9);
179;(0.1, -0.7, -0.9);
180;(0.0, -0.7, -0.9);
181;(0.0, -0.7, -0.9);
182;(0.0, -0.7, -0.9);
183;(0.0, -0.7, -0.9);
184;(-0.1, -0.7, -0.8);
185;(0.1, -0.7, -0.8);
186;(-0.1, -0.7, -0.8);
187;(0.1, -0.7, -0.8);
188;(0.0, -0.7, -0.8);
189;(0.0, -0.7, -0.8);
190;(0.0, -0.6, -0.8);
191;(0.0, -0.6, -0.8);
192;(-0.1, -0.6, -0.8);
193;(0.1, -0.6, -0.8);
194;(-0.2, -0.8, 0.2);
195;(0.2, -0.8, 0.2);
196;(-0.2, -0.8, 0.3);
197;(0.2, -0.8, 0.3);
198;(-0.2, -0.8, 0.3);
199;(0.2, -0.8, 0.3);
200;(-0.2, -0.8, 0.1);
201;(0.2, -0.8, 0.1);
202;(-0.3, -0.7, 0.1);
203;(0.3, -0.7, 0.1);
204;(-0.4, -0.7, 0.1);
205;(0.4, -0.7, 0.1);
206;(-0.5, -0.7, 0.1);
207;(0.5, -0.7, 0.1);
208;(-0.6, -0.7, 0.2);
209;(0.6, -0.7, 0.2);
210;(-0.6, -0.7, 0.3);
211;(0.6, -0.7, 0.3);
212;(-0.5, -0.7, 0.4);
213;(0.5, -0.7, 0.4);
214;(-0.4, -0.7, 0.4);
215;(0.4, -0.7, 0.4);
216;(-0.3, -0.8, 0.4);
217;(0.3, -0.8, 0.4);
218;(-0.2, -0.8, 0.4);
219;(0.2, -0.8, 0.4);
220;(-0.3, -0.8, 0.4);
221;(0.3, -0.8, 0.4);
222;(-0.3, -0.8, 0.4);
223;(0.3, -0.8, 0.4);
224;(-0.4, -0.8, 0.4);
225;(0.4, -0.8, 0.4);
226;(-0.5, -0.7, 0.4);
227;(0.5, -0.7, 0.4);
228;(-0.6, -0.7, 0.3);
229;(0.6, -0.7, 0.3);
230;(-0.6, -0.7, 0.2);
231;(0.6, -0.7, 0.2);
232;(-0.5, -0.7, 0.2);
233;(0.5, -0.7, 0.2);
234;(-0.4, -0.7, 0.1);
235;(0.4, -0.7, 0.1);
236;(-0.3, -0.8, 0.1);
237;(0.3, -0.8, 0.1);
238;(-0.2, -0.8, 0.1);
239;(0.2, -0.8, 0.1);
240;(-0.2, -0.8, 0.3);
241;(0.2, -0.8, 0.3);
242;(-0.2, -0.8, 0.3);
243;(0.2, -0.8, 0.3);
244;(-0.2, -0.8, 0.2);
245;(0.2, -0.8, 0.2);
246;(0.0, -0.7, 0.4);
247;(0.0, -0.7, 0.4);
248;(-0.1, -0.7, 0.6);
249;(0.1, -0.7, 0.6);
250;(-0.3, -0.7, 0.7);
251;(0.3, -0.7, 0.7);
252;(-0.4, -0.6, 0.7);
253;(0.4, -0.6, 0.7);
254;(-0.6, -0.6, 0.5);
255;(0.6, -0.6, 0.5);
256;(-0.8, -0.5, 0.4);
257;(0.8, -0.5, 0.4);
258;(-0.8, -0.5, 0.3);
259;(0.8, -0.5, 0.3);
260;(-0.7, -0.4, 0.1);
261;(0.7, -0.4, 0.1);
262;(-0.5, -0.5, -0.1);
263;(0.5, -0.5, -0.1);
264;(-0.1, -0.3, -0.5);
265;(0.1, -0.3, -0.5);
266;(-0.1, -0.3, -0.7);
267;(0.1, -0.3, -0.7);
268;(-0.1, -0.4, -0.9);
269;(0.1, -0.4, -0.9);
270;(-0.1, -0.5, -1.0);
271;(0.1, -0.5, -1.0);
272;(-0.3, -0.5, -0.9);
273;(0.3, -0.5, -0.9);
274;(-0.3, -0.5, -0.9);
275;(0.3, -0.5, -0.9);
276;(-0.3, -0.5, -0.7);
277;(0.3, -0.5, -0.7);
278;(-0.2, -0.4, -0.6);
279;(0.2, -0.4, -0.6);
280;(-0.2, -0.4, -0.8);
281;(0.2, -0.4, -0.8);
282;(-0.2, -0.4, -0.5);
283;(0.2, -0.4, -0.5);
284;(-0.3, -0.5, -0.5);
285;(0.3, -0.5, -0.5);
286;(-0.2, -0.5, -0.3);
287;(0.2, -0.5, -0.3);
288;(-0.3, -0.5, -0.3);
289;(0.3, -0.5, -0.3);
290;(-0.2, -0.5, -0.2);
291;(0.2, -0.5, -0.2);
292;(-0.3, -0.5, -0.1);
293;(0.3, -0.5, -0.1);
294;(-0.2, 0.7, -0.1);
295;(0.2, 0.7, -0.1);
296;(-0.2, 0.5, -0.3);
297;(0.2, 0.5, -0.3);
298;(-0.1, 0.1, -0.4);
299;(0.1, 0.1, -0.4);
300;(-0.1, -0.2, -0.4);
301;(0.1, -0.2, -0.4);
302;(-0.2, -0.3, -0.4);
303;(0.2, -0.3, -0.4);
304;(-0.7, -0.2, 0.1);
305;(0.7, -0.2, 0.1);
306;(-0.2, 0.8, 0.3);
307;(0.2, 0.8, 0.3);
308;(-0.2, -0.1, 0.9);
309;(0.2, -0.1, 0.9);
310;(-0.2, 0.3, 0.9);
311;(0.2, 0.3, 0.9);
312;(-0.2, 0.6, 0.7);
313;(0.2, 0.6, 0.7);
314;(-0.7, -0.4, 0.4);
315;(0.7, -0.4, 0.4);
316;(-0.7, -0.2, 0.5);
317;(0.7, -0.2, 0.5);
318;(-0.7, 0.0, 0.7);
319;(0.7, 0.0, 0.7);
320;(-0.7, 0.3, 0.6);
321;(0.7, 0.3, 0.6);
322;(-0.7, 0.5, 0.5);
323;(0.7, 0.5, 0.5);
324;(-0.5, 0.5, 0.6);
325;(0.5, 0.5, 0.6);
326;(-0.5, 0.3, 0.8);
327;(0.5, 0.3, 0.8);
328;(-0.5, 0.0, 0.8);
329;(0.5, 0.0, 0.8);
330;(-0.5, -0.3, 0.6);
331;(0.5, -0.3, 0.6);
332;(-0.6, -0.4, 0.5);
333;(0.6, -0.4, 0.5);
334;(-0.2, -0.4, 0.7);
335;(0.2, -0.4, 0.7);
336;(-0.3, -0.6, 0.6);
337;(0.3, -0.6, 0.6);
338;(-0.3, -0.5, 0.5);
339;(0.3, -0.5, 0.5);
340;(0.0, -0.6, 0.5);
341;(0.0, -0.6, 0.5);
342;(-0.8, -0.3, 0.3);
343;(0.8, -0.3, 0.3);
344;(-0.8, -0.1, 0.4);
345;(0.8, -0.1, 0.4);
346;(-0.8, 0.1, 0.5);
347;(0.8, 0.1, 0.5);
348;(-0.8, 0.3, 0.4);
349;(0.8, 0.3, 0.4);
350;(-0.3, 0.0, -0.3);
351;(0.3, 0.0, -0.3);
352;(-0.5, 0.0, -0.1);
353;(0.5, 0.0, -0.1);
354;(-0.5, -0.3, -0.1);
355;(0.5, -0.3, -0.1);
356;(-0.3, -0.4, -0.2);
357;(0.3, -0.4, -0.2);
358;(-0.3, -0.2, -0.3);
359;(0.3, -0.2, -0.3);
360;(-0.3, -0.5, -0.2);
361;(0.3, -0.5, -0.2);
362;(-0.6, 0.5, 0.2);
363;(0.6, 0.5, 0.2);
364;(-0.5, 0.6, 0.2);
365;(0.5, 0.6, 0.2);
366;(-0.5, 0.3, -0.1);
367;(0.5, 0.3, -0.1);
368;(-0.4, 0.4, -0.2);
369;(0.4, 0.4, -0.2);
370;(-0.4, 0.6, 0.0);
371;(0.4, 0.6, 0.0);
372;(-1.0, 0.3, 0.4);
373;(1.0, 0.3, 0.4);
374;(-1.1, 0.4, 0.5);
375;(1.1, 0.4, 0.5);
376;(-1.3, 0.4, 0.4);
377;(1.3, 0.4, 0.4);
378;(-1.3, 0.4, 0.2);
379;(1.3, 0.4, 0.2);
380;(-1.1, 0.4, 0.0);
381;(1.1, 0.4, 0.0);
382;(-0.9, 0.2, -0.1);
383;(0.9, 0.2, -0.1);
384;(-0.9, 0.3, 0.0);
385;(0.9, 0.3, 0.0);
386;(-1.1, 0.4, 0.0);
387;(1.1, 0.4, 0.0);
388;(-1.2, 0.4, 0.2);
389;(1.2, 0.4, 0.2);
390;(-1.2, 0.4, 0.3);
391;(1.2, 0.4, 0.3);
392;(-1.1, 0.4, 0.4);
393;(1.1, 0.4, 0.4);
394;(-1.0, 0.3, 0.4);
395;(1.0, 0.3, 0.4);
396;(-0.7, 0.1, 0.0);
397;(0.7, 0.1, 0.0);
398;(-0.7, 0.1, -0.1);
399;(0.7, 0.1, -0.1);
400;(-0.8, 0.0, 0.1);
401;(0.8, 0.0, 0.1);
402;(-0.9, 0.2, 0.3);
403;(0.9, 0.2, 0.3);
404;(-0.8, 0.2, 0.0);
405;(0.8, 0.2, 0.0);
406;(-0.8, 0.2, 0.0);
407;(0.8, 0.2, 0.0);
408;(-0.8, 0.3, 0.1);
409;(0.8, 0.3, 0.1);
410;(-0.8, 0.2, 0.1);
411;(0.8, 0.2, 0.1);
412;(-0.8, 0.2, 0.2);
413;(0.8, 0.2, 0.2);
414;(-0.9, 0.2, 0.3);
415;(0.9, 0.2, 0.3);
416;(-0.8, 0.2, 0.3);
417;(0.8, 0.2, 0.3);
418;(-0.8, 0.1, 0.1);
419;(0.8, 0.1, 0.1);
420;(-0.7, 0.1, 0.0);
421;(0.7, 0.1, 0.0);
422;(-0.9, 0.3, 0.3);
423;(0.9, 0.3, 0.3);
424;(-0.9, 0.3, 0.2);
425;(0.9, 0.3, 0.2);
426;(-0.8, 0.3, 0.1);
427;(0.8, 0.3, 0.1);
428;(-0.8, 0.3, 0.1);
429;(0.8, 0.3, 0.1);
430;(-0.8, 0.3, 0.0);
431;(0.8, 0.3, 0.0);
432;(-0.8, 0.3, 0.0);
433;(0.8, 0.3, 0.0);
434;(-0.8, 0.3, 0.0);
435;(0.8, 0.3, 0.0);
436;(-1.0, 0.4, 0.3);
437;(1.0, 0.4, 0.3);
438;(-1.1, 0.4, 0.3);
439;(1.1, 0.4, 0.3);
440;(-1.2, 0.5, 0.3);
441;(1.2, 0.5, 0.3);
442;(-1.2, 0.5, 0.2);
443;(1.2, 0.5, 0.2);
444;(-1.1, 0.4, 0.0);
445;(1.1, 0.4, 0.0);
446;(-1.0, 0.3, 0.0);
447;(1.0, 0.3, 0.0);
448;(-0.9, 0.3, 0.1);
449;(0.9, 0.3, 0.1);
450;(-0.9, 0.3, 0.1);
451;(0.9, 0.3, 0.1);
452;(-1.0, 0.4, 0.2);
453;(1.0, 0.4, 0.2);
454;(-1.1, 0.4, 0.2);
455;(1.1, 0.4, 0.2);
456;(-1.0, 0.4, 0.3);
457;(1.0, 0.4, 0.3);
458;(-1.0, 0.3, 0.2);
459;(1.0, 0.3, 0.2);
460;(-0.9, 0.3, 0.2);
461;(0.9, 0.3, 0.2);
462;(-0.8, 0.3, 0.1);
463;(0.8, 0.3, 0.1);
464;(-0.9, 0.3, 0.0);
465;(0.9, 0.3, 0.0);
466;(-1.0, 0.3, 0.0);
467;(1.0, 0.3, 0.0);
468;(-1.1, 0.4, 0.1);
469;(1.1, 0.4, 0.1);
470;(-1.2, 0.4, 0.2);
471;(1.2, 0.4, 0.2);
472;(-1.2, 0.4, 0.3);
473;(1.2, 0.4, 0.3);
474;(-1.1, 0.4, 0.3);
475;(1.1, 0.4, 0.3);
476;(-0.9, 0.3, -0.1);
477;(0.9, 0.3, -0.1);
478;(-1.2, 0.4, 0.0);
479;(1.2, 0.4, 0.0);
480;(-1.3, 0.5, 0.2);
481;(1.3, 0.5, 0.2);
482;(-1.3, 0.5, 0.4);
483;(1.3, 0.5, 0.4);
484;(-1.1, 0.4, 0.5);
485;(1.1, 0.4, 0.5);
486;(-0.9, 0.4, 0.4);
487;(0.9, 0.4, 0.4);
488;(-0.9, 0.4, 0.2);
489;(0.9, 0.4, 0.2);
490;(-1.2, 0.5, 0.2);
491;(1.2, 0.5, 0.2);
492;(-1.3, 0.5, 0.3);
493;(1.3, 0.5, 0.3);
494;(-0.8, 0.3, 0.3);
495;(0.8, 0.3, 0.3);
496;(-0.8, 0.4, 0.1);
497;(0.8, 0.4, 0.1);
498;(-0.7, 0.3, -0.1);
499;(0.7, 0.3, -0.1);
500;(-0.5, -0.7, 0.2);
501;(-0.5, -0.8, 0.2);
502;(-0.5, -0.7, 0.1);
503;(-0.5, -0.7, 0.2);
504;(0.5, -0.7, 0.2);
505;(0.5, -0.7, 0.1);
506;(0.5, -0.8, 0.2);
507;(0.5, -0.7, 0.2);
508;(-0.6, -0.6, 0.2);
509;(-0.5, -0.6, 0.1);
510;(-0.6, -0.6, 0.1);
511;(0.6, -0.6, 0.1);
512;(0.5, -0.6, 0.1);
513;(0.6, -0.6, 0.2);
514;(-0.4, -0.7, 0.1);
515;(-0.4, -0.7, 0.0);
516;(-0.4, -0.6, 0.0);
517;(0.4, -0.6, 0.0);
518;(0.4, -0.7, 0.0);
519;(0.4, -0.7, 0.1);
520;(-0.4, -0.8, 0.1);
521;(-0.4, -0.7, 0.1);
522;(0.4, -0.7, 0.1);
523;(0.4, -0.8, 0.1);
524;(-0.3, -0.8, 0.1);
525;(-0.2, -0.8, 0.1);
526;(-0.3, -0.7, 0.1);
527;(0.3, -0.7, 0.1);
528;(0.2, -0.8, 0.1);
529;(0.3, -0.8, 0.1);
530;(-0.2, -0.7, 0.1);
531;(-0.3, -0.6, 0.0);
532;(0.3, -0.6, 0.0);
533;(0.2, -0.7, 0.1);
534;(-0.2, -0.7, 0.2);
535;(-0.1, -0.7, 0.2);
536;(-0.1, -0.7, 0.1);
537;(0.1, -0.7, 0.1);
538;(0.1, -0.7, 0.2);
539;(0.2, -0.7, 0.2);
540;(-0.2, -0.8, 0.2);
541;(-0.2, -0.8, 0.2);
542;(0.2, -0.8, 0.2);
543;(0.2, -0.8, 0.2);
544;(-0.2, -0.8, 0.3);
545;(-0.2, -0.8, 0.4);
546;(-0.2, -0.7, 0.3);
547;(0.2, -0.7, 0.3);
548;(0.2, -0.8, 0.4);
549;(0.2, -0.8, 0.3);
550;(-0.2, -0.7, 0.4);
551;(-0.1, -0.7, 0.3);
552;(0.1, -0.7, 0.3);
553;(0.2, -0.7, 0.4);
554;(-0.3, -0.7, 0.4);
555;(-0.4, -0.7, 0.5);
556;(-0.3, -0.6, 0.5);
557;(0.3, -0.6, 0.5);
558;(0.4, -0.7, 0.5);
559;(0.3, -0.7, 0.4);
560;(-0.3, -0.8, 0.4);
561;(-0.4, -0.7, 0.4);
562;(0.4, -0.7, 0.4);
563;(0.3, -0.8, 0.4);
564;(-0.4, -0.8, 0.4);
565;(-0.5, -0.7, 0.4);
566;(-0.4, -0.7, 0.4);
567;(0.4, -0.7, 0.4);
568;(0.5, -0.7, 0.4);
569;(0.4, -0.8, 0.4);
570;(-0.5, -0.6, 0.4);
571;(-0.4, -0.6, 0.5);
572;(0.4, -0.6, 0.5);
573;(0.5, -0.6, 0.4);
574;(-0.5, -0.7, 0.3);
575;(-0.6, -0.6, 0.3);
576;(0.6, -0.6, 0.3);
577;(0.5, -0.7, 0.3);
578;(-0.5, -0.8, 0.3);
579;(0.5, -0.8, 0.3);
580;(-0.5, -0.8, 0.2);
581;(-0.4, -0.8, 0.3);
582;(-0.5, -0.8, 0.3);
583;(0.5, -0.8, 0.3);
584;(0.4, -0.8, 0.3);
585;(0.5, -0.8, 0.2);
586;(-0.4, -0.8, 0.4);
587;(-0.4, -0.8, 0.3);
588;(0.4, -0.8, 0.3);
589;(0.4, -0.8, 0.4);
590;(-0.3, -0.8, 0.3);
591;(-0.3, -0.8, 0.3);
592;(0.3, -0.8, 0.3);
593;(0.3, -0.8, 0.3);
594;(-0.2, -0.8, 0.2);
595;(-0.3, -0.8, 0.3);
596;(0.3, -0.8, 0.3);
597;(0.2, -0.8, 0.2);
598;(-0.3, -0.8, 0.2);
599;(-0.3, -0.8, 0.2);
600;(0.3, -0.8, 0.2);
601;(0.3, -0.8, 0.2);
602;(-0.4, -0.8, 0.1);
603;(-0.3, -0.8, 0.1);
604;(0.3, -0.8, 0.1);
605;(0.4, -0.8, 0.1);
606;(-0.4, -0.8, 0.2);
607;(-0.4, -0.8, 0.1);
608;(0.4, -0.8, 0.1);
609;(0.4, -0.8, 0.2);
610;(-0.5, -0.8, 0.2);
611;(0.5, -0.8, 0.2);
612;(-0.4, -0.8, 0.2);
613;(-0.4, -0.8, 0.2);
614;(0.4, -0.8, 0.2);
615;(0.4, -0.8, 0.2);
616;(-0.4, -0.8, 0.2);
617;(0.4, -0.8, 0.2);
618;(-0.3, -0.8, 0.2);
619;(0.3, -0.8, 0.2);
620;(-0.3, -0.8, 0.2);
621;(0.3, -0.8, 0.2);
622;(-0.3, -0.8, 0.3);
623;(0.3, -0.8, 0.3);
624;(-0.4, -0.8, 0.3);
625;(0.4, -0.8, 0.3);
626;(-0.4, -0.8, 0.3);
627;(0.4, -0.8, 0.3);
628;(-0.1, -0.6, -1.0);
629;(-0.2, -0.6, -0.9);
630;(-0.1, -0.6, -0.9);
631;(0.0, -0.6, -1.0);
632;(0.1, -0.6, -0.9);
633;(0.2, -0.6, -0.9);
634;(0.1, -0.6, -1.0);
635;(-0.2, -0.5, -0.9);
636;(-0.3, -0.6, -0.9);
637;(-0.2, -0.6, -0.9);
638;(0.2, -0.6, -0.9);
639;(0.3, -0.6, -0.9);
640;(0.2, -0.5, -0.9);
641;(-0.3, -0.5, -0.9);
642;(-0.3, -0.6, -0.8);
643;(-0.2, -0.6, -0.9);
644;(0.2, -0.6, -0.9);
645;(0.3, -0.6, -0.8);
646;(0.3, -0.5, -0.9);
647;(-0.3, -0.5, -0.8);
648;(-0.3, -0.6, -0.7);
649;(-0.3, -0.7, -0.8);
650;(0.3, -0.7, -0.8);
651;(0.3, -0.6, -0.7);
652;(0.3, -0.5, -0.8);
653;(-0.3, -0.6, -0.5);
654;(-0.3, -0.6, -0.5);
655;(-0.2, -0.7, -0.6);
656;(0.2, -0.7, -0.6);
657;(0.3, -0.6, -0.5);
658;(0.3, -0.6, -0.5);
659;(-0.2, -0.7, -0.2);
660;(-0.3, -0.6, -0.1);
661;(-0.4, -0.6, -0.1);
662;(-0.3, -0.7, -0.1);
663;(0.3, -0.7, -0.1);
664;(0.4, -0.6, -0.1);
665;(0.3, -0.6, -0.1);
666;(0.2, -0.7, -0.2);
667;(-0.5, -0.5, -0.1);
668;(-0.6, -0.6, 0.0);
669;(-0.5, -0.6, 0.0);
670;(0.5, -0.6, 0.0);
671;(0.6, -0.6, 0.0);
672;(0.5, -0.5, -0.1);
673;(-0.7, -0.5, 0.1);
674;(-0.8, -0.5, 0.2);
675;(-0.7, -0.6, 0.1);
676;(0.7, -0.6, 0.1);
677;(0.8, -0.5, 0.2);
678;(0.7, -0.5, 0.1);
679;(-0.8, -0.5, 0.3);
680;(-0.8, -0.6, 0.4);
681;(-0.7, -0.6, 0.3);
682;(0.7, -0.6, 0.3);
683;(0.8, -0.6, 0.4);
684;(0.8, -0.5, 0.3);
685;(-0.8, -0.6, 0.4);
686;(-0.7, -0.7, 0.5);
687;(-0.7, -0.7, 0.4);
688;(0.7, -0.7, 0.4);
689;(0.7, -0.7, 0.5);
690;(0.8, -0.6, 0.4);
691;(-0.6, -0.7, 0.5);
692;(-0.5, -0.7, 0.6);
693;(-0.6, -0.7, 0.5);
694;(0.6, -0.7, 0.5);
695;(0.5, -0.7, 0.6);
696;(0.6, -0.7, 0.5);
697;(-0.4, -0.7, 0.7);
698;(-0.3, -0.8, 0.7);
699;(-0.4, -0.8, 0.6);
700;(0.4, -0.8, 0.6);
701;(0.3, -0.8, 0.7);
702;(0.4, -0.7, 0.7);
703;(-0.2, -0.7, 0.7);
704;(-0.2, -0.8, 0.6);
705;(-0.3, -0.8, 0.6);
706;(0.3, -0.8, 0.6);
707;(0.2, -0.8, 0.6);
708;(0.2, -0.7, 0.7);
709;(-0.1, -0.7, 0.6);
710;(-0.1, -0.8, 0.5);
711;(-0.2, -0.8, 0.5);
712;(0.2, -0.8, 0.5);
713;(0.1, -0.8, 0.5);
714;(0.1, -0.7, 0.6);
715;(0.0, -0.7, 0.4);
716;(0.0, -0.8, 0.4);
717;(-0.1, -0.8, 0.4);
718;(0.1, -0.8, 0.4);
719;(0.0, -0.7, 0.4);
720;(-0.1, -0.8, 0.4);
721;(-0.2, -0.8, 0.4);
722;(-0.2, -0.8, 0.5);
723;(0.2, -0.8, 0.5);
724;(0.2, -0.8, 0.4);
725;(0.1, -0.8, 0.4);
726;(-0.3, -0.8, 0.5);
727;(-0.3, -0.8, 0.5);
728;(0.3, -0.8, 0.5);
729;(0.3, -0.8, 0.5);
730;(-0.4, -0.7, 0.5);
731;(-0.4, -0.8, 0.5);
732;(0.4, -0.8, 0.5);
733;(0.4, -0.7, 0.5);
734;(-0.5, -0.7, 0.4);
735;(-0.6, -0.7, 0.4);
736;(0.6, -0.7, 0.4);
737;(0.5, -0.7, 0.4);
738;(-0.6, -0.7, 0.3);
739;(-0.7, -0.7, 0.3);
740;(0.7, -0.7, 0.3);
741;(0.6, -0.7, 0.3);
