Vert_Idx;Position;
0;(-1.2, 1.9, 0.3);
1;(-1.1, 1.9, 0.5);
2;(-1.1, 1.9, 0.5);
3;(-1.2, 1.9, 0.3);
4;(-1.1, 1.9, 0.5);
5;(-1.2, 1.9, 0.3);
6;(-1.2, 1.9, 0.0);
7;(-1.2, 1.9, 0.0);
8;(-1.2, 1.9, 0.0);
9;(-1.2, 1.9, 0.3);
10;(-1.1, 1.9, 0.5);
11;(-1.1, 1.9, 0.5);
12;(-1.2, 1.9, 0.3);
13;(-1.2, 1.9, 0.0);
14;(-1.2, 1.9, 0.0);
15;(-1.2, 1.9, 0.3);
16;(-1.2, 1.9, 0.5);
17;(-1.2, 1.9, 0.5);
18;(-1.2, 1.9, 0.3);
19;(-1.3, 1.9, 0.0);
20;(-1.2, 1.9, 0.0);
21;(-1.2, 1.9, 0.3);
22;(-1.2, 1.9, 0.5);
23;(-1.2, 1.8, 0.5);
24;(-1.3, 1.8, 0.3);
25;(-1.3, 1.8, 0.0);
26;(-1.3, 1.9, 0.0);
27;(-1.1, 1.9, 0.7);
28;(-1.1, 1.9, 0.7);
29;(-0.9, 1.9, 0.8);
30;(-0.9, 1.9, 0.8);
31;(-0.9, 1.9, 0.8);
32;(-1.0, 1.9, 0.6);
33;(-1.0, 1.9, 0.6);
34;(-0.9, 1.9, 0.8);
35;(-0.9, 1.9, 0.8);
36;(-1.0, 1.9, 0.6);
37;(-1.0, 1.9, 0.6);
38;(-0.9, 1.9, 0.8);
39;(-0.9, 1.9, 0.8);
40;(-1.0, 1.9, 0.6);
41;(-0.7, 1.9, 0.9);
42;(-0.7, 1.9, 0.9);
43;(-0.6, 1.9, 1.0);
44;(-0.6, 1.9, 1.0);
45;(-0.6, 1.9, 1.0);
46;(-0.7, 1.9, 0.9);
47;(-0.7, 1.9, 0.9);
48;(-0.6, 1.9, 1.0);
49;(-0.6, 1.9, 1.0);
50;(-0.7, 1.9, 0.9);
51;(-0.8, 1.9, 0.9);
52;(-0.6, 1.9, 1.0);
53;(-0.6, 1.9, 1.1);
54;(-0.8, 1.9, 1.0);
55;(-0.8, 1.9, 1.0);
56;(-0.6, 1.9, 1.1);
57;(-0.6, 1.8, 1.1);
58;(-0.8, 1.8, 1.0);
59;(-1.0, 1.8, 0.9);
60;(-0.9, 1.9, 0.8);
61;(-1.1, 1.9, 0.7);
62;(-1.1, 1.8, 0.7);
63;(-0.4, 1.9, 1.1);
64;(-0.4, 1.8, 1.2);
65;(-0.1, 1.8, 1.2);
66;(-0.1, 1.9, 1.2);
67;(-0.1, 1.9, 1.1);
68;(-0.4, 1.9, 1.1);
69;(-0.4, 1.9, 1.1);
70;(-0.1, 1.9, 1.1);
71;(-0.1, 1.9, 1.1);
72;(-0.4, 1.9, 1.1);
73;(-0.4, 1.9, 1.1);
74;(-0.1, 1.9, 1.1);
75;(-0.1, 1.9, 1.1);
76;(-0.4, 1.9, 1.1);
77;(-0.4, 1.9, 1.1);
78;(-0.1, 1.9, 1.1);
79;(-0.1, 1.9, 1.1);
80;(-0.4, 1.9, 1.1);
81;(0.1, 1.9, 1.1);
82;(0.1, 1.9, 1.1);
83;(0.3, 1.9, 1.0);
84;(0.3, 1.9, 1.0);
85;(0.3, 1.9, 1.0);
86;(0.1, 1.9, 1.1);
87;(0.1, 1.9, 1.1);
88;(0.3, 1.9, 1.0);
89;(0.3, 1.9, 1.0);
90;(0.1, 1.9, 1.1);
91;(0.1, 1.9, 1.1);
92;(0.3, 1.9, 1.0);
93;(0.3, 1.9, 1.1);
94;(0.1, 1.9, 1.1);
95;(0.1, 1.9, 1.1);
96;(0.3, 1.9, 1.1);
97;(0.3, 1.8, 1.1);
98;(0.1, 1.8, 1.2);
99;(0.5, 1.9, 0.9);
100;(0.5, 1.9, 1.0);
101;(0.6, 1.9, 0.8);
102;(0.6, 1.9, 0.8);
103;(0.6, 1.9, 0.8);
104;(0.5, 1.9, 0.9);
105;(0.5, 1.9, 0.9);
106;(0.6, 1.9, 0.8);
107;(0.6, 1.9, 0.8);
108;(0.5, 1.9, 0.9);
109;(0.5, 1.9, 0.9);
110;(0.6, 1.9, 0.8);
111;(0.6, 1.9, 0.8);
112;(0.5, 1.9, 0.9);
113;(0.7, 1.9, 0.6);
114;(0.7, 1.9, 0.6);
115;(0.8, 1.9, 0.5);
116;(0.8, 1.9, 0.5);
117;(0.8, 1.9, 0.5);
118;(0.8, 1.9, 0.6);
119;(0.7, 1.9, 0.6);
120;(0.8, 1.9, 0.5);
121;(0.8, 1.9, 0.5);
122;(0.7, 1.9, 0.6);
123;(0.8, 1.9, 0.7);
124;(0.9, 1.9, 0.5);
125;(0.9, 1.9, 0.5);
126;(0.8, 1.9, 0.7);
127;(0.8, 1.9, 0.7);
128;(0.9, 1.9, 0.5);
129;(0.9, 1.8, 0.5);
130;(0.8, 1.8, 0.7);
131;(0.7, 1.8, 0.9);
132;(0.7, 1.9, 0.8);
133;(0.5, 1.9, 1.0);
134;(0.5, 1.8, 1.0);
135;(1.0, 1.9, 0.3);
136;(1.0, 1.8, 0.3);
137;(1.0, 1.8, 0.0);
138;(1.0, 1.9, 0.0);
139;(1.0, 1.9, 0.0);
140;(0.9, 1.9, 0.3);
141;(0.9, 1.9, 0.3);
142;(0.9, 1.9, 0.0);
143;(0.9, 1.9, 0.0);
144;(0.9, 1.9, 0.3);
145;(0.9, 1.9, 0.3);
146;(0.9, 1.9, 0.0);
147;(0.9, 1.9, 0.0);
148;(0.9, 1.9, 0.3);
